population,candidate_name,end_date,da_by_pop
a,Donald Trump,2021-10-10,
a,Donald Trump,2021-10-11,
a,Donald Trump,2021-10-12,
a,Donald Trump,2021-10-13,
a,Donald Trump,2021-10-14,
a,Donald Trump,2021-10-15,
a,Donald Trump,2021-10-16,
a,Donald Trump,2021-10-17,
a,Donald Trump,2021-10-18,
a,Donald Trump,2021-10-19,
a,Donald Trump,2021-10-20,
a,Donald Trump,2021-10-21,40.0
a,Donald Trump,2021-10-22,
a,Donald Trump,2021-10-23,
a,Donald Trump,2021-10-24,
a,Donald Trump,2021-10-25,
a,Donald Trump,2021-10-26,
a,Donald Trump,2021-10-27,
a,Donald Trump,2021-10-28,
a,Donald Trump,2021-10-29,
a,Donald Trump,2021-10-30,
a,Donald Trump,2021-10-31,
a,Donald Trump,2021-11-01,
a,Donald Trump,2021-11-02,
a,Donald Trump,2021-11-03,
a,Donald Trump,2021-11-04,
a,Donald Trump,2021-11-05,
a,Donald Trump,2021-11-06,
a,Donald Trump,2021-11-07,
a,Donald Trump,2021-11-08,39.0
a,Donald Trump,2021-11-09,
a,Donald Trump,2021-11-10,34.0
a,Donald Trump,2021-11-11,
a,Donald Trump,2021-11-12,
a,Donald Trump,2021-11-13,
a,Donald Trump,2021-11-14,
a,Donald Trump,2021-11-15,
a,Donald Trump,2021-11-16,
a,Donald Trump,2021-11-17,
a,Donald Trump,2021-11-18,
a,Donald Trump,2021-11-19,
a,Donald Trump,2021-11-20,
a,Donald Trump,2021-11-21,
a,Donald Trump,2021-11-22,
a,Donald Trump,2021-11-23,
a,Donald Trump,2021-11-24,
a,Donald Trump,2021-11-25,
a,Donald Trump,2021-11-26,
a,Donald Trump,2021-11-27,
a,Donald Trump,2021-11-28,
a,Donald Trump,2021-11-29,
a,Donald Trump,2021-11-30,
a,Donald Trump,2021-12-01,
a,Donald Trump,2021-12-02,
a,Donald Trump,2021-12-03,
a,Donald Trump,2021-12-04,
a,Donald Trump,2021-12-05,
a,Donald Trump,2021-12-06,
a,Donald Trump,2021-12-07,
a,Donald Trump,2021-12-08,
a,Donald Trump,2021-12-09,
a,Donald Trump,2021-12-10,
a,Donald Trump,2021-12-11,
a,Donald Trump,2021-12-12,
a,Donald Trump,2021-12-13,35.0
a,Donald Trump,2021-12-14,
a,Donald Trump,2021-12-15,
a,Donald Trump,2021-12-16,
a,Donald Trump,2021-12-17,
a,Donald Trump,2021-12-18,
a,Donald Trump,2021-12-19,
a,Donald Trump,2021-12-20,
a,Donald Trump,2021-12-21,
a,Donald Trump,2021-12-22,
a,Donald Trump,2021-12-23,
a,Donald Trump,2021-12-24,
a,Donald Trump,2021-12-25,
a,Donald Trump,2021-12-26,
a,Donald Trump,2021-12-27,
a,Donald Trump,2021-12-28,
a,Donald Trump,2021-12-29,
a,Donald Trump,2021-12-30,
a,Donald Trump,2021-12-31,
a,Donald Trump,2022-01-01,
a,Donald Trump,2022-01-02,
a,Donald Trump,2022-01-03,
a,Donald Trump,2022-01-04,
a,Donald Trump,2022-01-05,
a,Donald Trump,2022-01-06,
a,Donald Trump,2022-01-07,
a,Donald Trump,2022-01-08,
a,Donald Trump,2022-01-09,
a,Donald Trump,2022-01-10,
a,Donald Trump,2022-01-11,
a,Donald Trump,2022-01-12,
a,Donald Trump,2022-01-13,
a,Donald Trump,2022-01-14,
a,Donald Trump,2022-01-15,
a,Donald Trump,2022-01-16,
a,Donald Trump,2022-01-17,
a,Donald Trump,2022-01-18,
a,Donald Trump,2022-01-19,
a,Donald Trump,2022-01-20,
a,Donald Trump,2022-01-21,33.0
a,Donald Trump,2022-01-22,
a,Donald Trump,2022-01-23,
a,Donald Trump,2022-01-24,40.0
a,Donald Trump,2022-01-25,
a,Donald Trump,2022-01-26,
